Rango,Variedad_Original,Predicción
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Media,AR,AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos1,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_menos2,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_1,AR,NO AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_2,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
Rango_3,AR,AR
