ID_OLIVO,Rango,Predicción,Variedad_Original
407_indv_1,Media,NO AR,AR
407_indv_10,Media,NO AR,AR
407_indv_11,Media,NO AR,AR
407_indv_12,Media,NO AR,AR
407_indv_13,Media,NO AR,AR
407_indv_14,Media,NO AR,AR
407_indv_15,Media,NO AR,AR
407_indv_16,Media,NO AR,AR
407_indv_17,Media,NO AR,AR
407_indv_18,Media,NO AR,AR
407_indv_2,Media,NO AR,AR
407_indv_3,Media,NO AR,AR
407_indv_4,Media,NO AR,AR
407_indv_5,Media,NO AR,AR
407_indv_6,Media,NO AR,AR
407_indv_7,Media,NO AR,AR
407_indv_8,Media,NO AR,AR
407_indv_9,Media,NO AR,AR
407_indv_1,Rango_menos1,NO AR,AR
407_indv_10,Rango_menos1,NO AR,AR
407_indv_11,Rango_menos1,NO AR,AR
407_indv_12,Rango_menos1,NO AR,AR
407_indv_13,Rango_menos1,NO AR,AR
407_indv_14,Rango_menos1,NO AR,AR
407_indv_15,Rango_menos1,NO AR,AR
407_indv_16,Rango_menos1,NO AR,AR
407_indv_17,Rango_menos1,NO AR,AR
407_indv_18,Rango_menos1,NO AR,AR
407_indv_2,Rango_menos1,NO AR,AR
407_indv_3,Rango_menos1,NO AR,AR
407_indv_4,Rango_menos1,NO AR,AR
407_indv_5,Rango_menos1,NO AR,AR
407_indv_6,Rango_menos1,NO AR,AR
407_indv_7,Rango_menos1,NO AR,AR
407_indv_8,Rango_menos1,NO AR,AR
407_indv_9,Rango_menos1,NO AR,AR
407_indv_1,Rango_menos2,NO AR,AR
407_indv_10,Rango_menos2,NO AR,AR
407_indv_11,Rango_menos2,NO AR,AR
407_indv_12,Rango_menos2,NO AR,AR
407_indv_13,Rango_menos2,NO AR,AR
407_indv_14,Rango_menos2,NO AR,AR
407_indv_15,Rango_menos2,NO AR,AR
407_indv_16,Rango_menos2,NO AR,AR
407_indv_17,Rango_menos2,NO AR,AR
407_indv_18,Rango_menos2,NO AR,AR
407_indv_2,Rango_menos2,NO AR,AR
407_indv_3,Rango_menos2,NO AR,AR
407_indv_4,Rango_menos2,NO AR,AR
407_indv_5,Rango_menos2,NO AR,AR
407_indv_6,Rango_menos2,NO AR,AR
407_indv_7,Rango_menos2,NO AR,AR
407_indv_8,Rango_menos2,NO AR,AR
407_indv_9,Rango_menos2,NO AR,AR
407_indv_1,Rango_1,NO AR,AR
407_indv_10,Rango_1,NO AR,AR
407_indv_11,Rango_1,NO AR,AR
407_indv_12,Rango_1,NO AR,AR
407_indv_13,Rango_1,NO AR,AR
407_indv_14,Rango_1,NO AR,AR
407_indv_15,Rango_1,NO AR,AR
407_indv_16,Rango_1,NO AR,AR
407_indv_17,Rango_1,NO AR,AR
407_indv_18,Rango_1,NO AR,AR
407_indv_2,Rango_1,NO AR,AR
407_indv_3,Rango_1,NO AR,AR
407_indv_4,Rango_1,NO AR,AR
407_indv_5,Rango_1,NO AR,AR
407_indv_6,Rango_1,NO AR,AR
407_indv_7,Rango_1,NO AR,AR
407_indv_8,Rango_1,NO AR,AR
407_indv_9,Rango_1,NO AR,AR
407_indv_1,Rango_2,AR,AR
407_indv_10,Rango_2,AR,AR
407_indv_11,Rango_2,AR,AR
407_indv_12,Rango_2,AR,AR
407_indv_13,Rango_2,AR,AR
407_indv_14,Rango_2,AR,AR
407_indv_15,Rango_2,AR,AR
407_indv_16,Rango_2,AR,AR
407_indv_17,Rango_2,AR,AR
407_indv_18,Rango_2,AR,AR
407_indv_2,Rango_2,AR,AR
407_indv_3,Rango_2,AR,AR
407_indv_4,Rango_2,AR,AR
407_indv_5,Rango_2,AR,AR
407_indv_6,Rango_2,AR,AR
407_indv_7,Rango_2,AR,AR
407_indv_8,Rango_2,AR,AR
407_indv_9,Rango_2,AR,AR
407_indv_1,Rango_3,AR,AR
407_indv_10,Rango_3,AR,AR
407_indv_11,Rango_3,AR,AR
407_indv_12,Rango_3,AR,AR
407_indv_13,Rango_3,AR,AR
407_indv_14,Rango_3,AR,AR
407_indv_15,Rango_3,AR,AR
407_indv_16,Rango_3,AR,AR
407_indv_17,Rango_3,AR,AR
407_indv_18,Rango_3,AR,AR
407_indv_2,Rango_3,AR,AR
407_indv_3,Rango_3,AR,AR
407_indv_4,Rango_3,AR,AR
407_indv_5,Rango_3,AR,AR
407_indv_6,Rango_3,AR,AR
407_indv_7,Rango_3,AR,AR
407_indv_8,Rango_3,AR,AR
407_indv_9,Rango_3,AR,AR
