ID_OLIVO,Rango,Predicción,Variedad_Original
408_1,Media,NO AR,AR
408_10,Media,NO AR,AR
408_11,Media,NO AR,AR
408_12,Media,NO AR,AR
408_13,Media,NO AR,AR
408_14,Media,NO AR,AR
408_15,Media,NO AR,AR
408_16,Media,NO AR,AR
408_17,Media,NO AR,AR
408_18,Media,NO AR,AR
408_19,Media,NO AR,AR
408_2,Media,NO AR,AR
408_20,Media,NO AR,AR
408_21,Media,NO AR,AR
408_22,Media,NO AR,AR
408_23,Media,NO AR,AR
408_24,Media,NO AR,AR
408_25,Media,NO AR,AR
408_26,Media,NO AR,AR
408_27,Media,NO AR,AR
408_28,Media,NO AR,AR
408_29,Media,NO AR,AR
408_3,Media,NO AR,AR
408_30,Media,NO AR,AR
408_31,Media,NO AR,AR
408_4,Media,NO AR,AR
408_5,Media,NO AR,AR
408_6,Media,NO AR,AR
408_7,Media,NO AR,AR
408_8,Media,NO AR,AR
408_9,Media,NO AR,AR
408_1,Rango_menos1,NO AR,AR
408_10,Rango_menos1,NO AR,AR
408_11,Rango_menos1,NO AR,AR
408_12,Rango_menos1,NO AR,AR
408_13,Rango_menos1,NO AR,AR
408_14,Rango_menos1,NO AR,AR
408_15,Rango_menos1,NO AR,AR
408_16,Rango_menos1,NO AR,AR
408_17,Rango_menos1,NO AR,AR
408_18,Rango_menos1,NO AR,AR
408_19,Rango_menos1,NO AR,AR
408_2,Rango_menos1,NO AR,AR
408_20,Rango_menos1,NO AR,AR
408_21,Rango_menos1,NO AR,AR
408_22,Rango_menos1,NO AR,AR
408_23,Rango_menos1,NO AR,AR
408_24,Rango_menos1,NO AR,AR
408_25,Rango_menos1,NO AR,AR
408_26,Rango_menos1,NO AR,AR
408_27,Rango_menos1,NO AR,AR
408_28,Rango_menos1,NO AR,AR
408_29,Rango_menos1,NO AR,AR
408_3,Rango_menos1,NO AR,AR
408_30,Rango_menos1,NO AR,AR
408_31,Rango_menos1,NO AR,AR
408_4,Rango_menos1,NO AR,AR
408_5,Rango_menos1,NO AR,AR
408_6,Rango_menos1,NO AR,AR
408_7,Rango_menos1,NO AR,AR
408_8,Rango_menos1,NO AR,AR
408_9,Rango_menos1,NO AR,AR
408_1,Rango_menos2,AR,AR
408_10,Rango_menos2,AR,AR
408_11,Rango_menos2,AR,AR
408_12,Rango_menos2,AR,AR
408_13,Rango_menos2,AR,AR
408_14,Rango_menos2,AR,AR
408_15,Rango_menos2,AR,AR
408_16,Rango_menos2,AR,AR
408_17,Rango_menos2,AR,AR
408_18,Rango_menos2,AR,AR
408_19,Rango_menos2,AR,AR
408_2,Rango_menos2,AR,AR
408_20,Rango_menos2,AR,AR
408_21,Rango_menos2,AR,AR
408_22,Rango_menos2,AR,AR
408_23,Rango_menos2,AR,AR
408_24,Rango_menos2,AR,AR
408_25,Rango_menos2,AR,AR
408_26,Rango_menos2,AR,AR
408_27,Rango_menos2,AR,AR
408_28,Rango_menos2,AR,AR
408_29,Rango_menos2,AR,AR
408_3,Rango_menos2,AR,AR
408_30,Rango_menos2,AR,AR
